1A,Not assigned,Not assigned
2A,Not assigned,Not assigned
3A,North York,Parkwoods
4A,North York,Victoria Village
5A,Downtown Toronto,Regent Park, Harbourfront
6A,North York,Lawrence Manor, Lawrence Heights
7A,Downtown Toronto,Queen's Park, Ontario Provincial Government
8A,Not assigned,Not assigned
9A,Etobicoke,Islington Avenue, Humber Valley Village
1B,Scarborough,Malvern, Rouge
2B,Not assigned,Not assigned
3B,North York,Don Mills
4B,East York,Parkview Hill, Woodbine Gardens
5B,Downtown Toronto,Garden District, Ryerson
6B,North York,Glencairn
7B,Not assigned,Not assigned
8B,Not assigned,Not assigned
9B,Etobicoke,West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale
1C,Scarborough,Rouge Hill, Port Union, Highland Creek
2C,Not assigned,Not assigned
3C,North York,Don Mills
4C,East York,Woodbine Heights
5C,Downtown Toronto,St. James Town
6C,York,Humewood-Cedarvale
7C,Not assigned,Not assigned
8C,Not assigned,Not assigned
9C,Etobicoke,Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood
1E,Scarborough,Guildwood, Morningside, West Hill
2E,Not assigned,Not assigned
3E,Not assigned,Not assigned
4E,East Toronto,The Beaches
5E,Downtown Toronto,Berczy Park
6E,York,Caledonia-Fairbanks
7E,Not assigned,Not assigned
8E,Not assigned,Not assigned
9E,Not assigned,Not assigned
1G,Scarborough,Woburn
2G,Not assigned,Not assigned
3G,Not assigned,Not assigned
4G,East York,Leaside
5G,Downtown Toronto,Central Bay Street
6G,Downtown Toronto,Christie
7G,Not assigned,Not assigned
8G,Not assigned,Not assigned
9G,Not assigned,Not assigned
1H,Scarborough,Cedarbrae
2H,North York,Hillcrest Village
3H,North York,Bathurst Manor, Wilson Heights, Downsview North
4H,East York,Thorncliffe Park
5H,Downtown Toronto,Richmond, Adelaide, King
6H,West Toronto,Dufferin, Dovercourt Village
7H,Not assigned,Not assigned
8H,Not assigned,Not assigned
9H,Not assigned,Not assigned
1J,Scarborough,Scarborough Village
2J,North York,Fairview, Henry Farm, Oriole
3J,North York,Northwood Park, York University
4J,East York,East Toronto, Broadview North (Old East York)
5J,Downtown Toronto,Harbourfront East, Union Station, Toronto Islands
6J,West Toronto,Little Portugal, Trinity
7J,Not assigned,Not assigned
8J,Not assigned,Not assigned
9J,Not assigned,Not assigned
1K,Scarborough,Kennedy Park, Ionview, East Birchmount Park
2K,North York,Bayview Village
3K,North York,Downsview
4K,East Toronto,The Danforth West, Riverdale
5K,Downtown Toronto,Toronto Dominion Centre, Design Exchange
6K,West Toronto,Brockton, Parkdale Village, Exhibition Place
7K,Not assigned,Not assigned
8K,Not assigned,Not assigned
9K,Not assigned,Not assigned
